Year,Month,Day,Hour,Min,Second,North,East,Depth(km),Richter tal
2015,8,6,15,3,59.6,53324,2148,0.0,3.4
2015,8,6,9,15,18.9,56297,13150,0.1,0.7
2015,8,3,10,2,38.3,55691,13287,3.4,1.4
2015,8,3,10,1,28.1,55698,13306,4.3,1.1
2015,8,2,5,8,5.1,57374,6661,30.2,2.0
2015,7,29,19,45,60.0,57635,11729,7.8,3.2
2015,7,29,10,22,49.8,55621,13473,6.5,2.2
2015,7,17,9,39,57.8,56194,13694,3.7,0.5
2015,7,14,15,38,3.0,58678,8178,7.1,1.0
2015,7,11,9,25,19.8,56962,8063,22.4,1.6
2015,7,10,11,27,6.4,55668,13375,1.9,1.3
2015,7,10,9,11,57.9,56569,13185,0.0,0.0
2015,7,8,14,32,14.7,57340,6840,32.7,3.0
